19602 15  3
14350 2  24
17290 3  6
19168 5  15
14130 10  17
11493 2  25
10671 1  42
9503 15  1
17619 10  15
16644 3  6
9503 12  1
9503 10  16
18163 15  4
18163 10  14
9503 19  1
18453 15  4
7320 2  22
7320 3  9
8846 10  16
7320 1  40
7320 4  107
7320 5  15
605 2  15
605 3  30
605 1  49
605 6  3
605 4  126
605 5  7
1218 4  117
1218 5  9
1218 6  1
1218 1  47
1218 2  20
1218 3  20
17509 3  6
11632 1  41
17509 1  40
11940 2  27
17509 5  14
17509 4  103
4583 1  43
4583 2  23
4583 3  11
4583 4  109
4583 5  12
14370 10  17
18400 5  15
10216 5  13
10216 4  106
10216 1  42
18858 3  5
10216 3  8
10216 2  26
4221 3  11
4221 2  24
4221 1  43
14039 1  39
14717 10  17
4221 5  12
4221 4  107
18858 5  15
4221 8  1
14159 2  24
18858 4  101
7968 4  106
7968 5  13
7968 1  42
4372 8  1
7968 3  8
4372 4  107
4372 5  13
4372 2  23
4372 3  11
4372 1  42
3844 5  12
19705 5  15
16897 3  6
1527 9  1
1527 8  1
19705 1  39
1527 5  10
1527 4  115
2250 12  2
10059 24  1
1527 1  46
1527 3  20
1527 2  19
15423 5  17
17256 5  14
18400 3  5
11557 1  41
10946 12  1
10095 1  41
10095 2  25
10095 3  8
2303 12  2
10095 5  14
2303 10  13
6539 1  40
15009 1  38
6539 3  10
6539 2  21
6539 5  15
6539 4  108
11952 15  1
11557 4  105
11952 10  13
11952 12  1
16558 2  26
3192 12  2
18746 19  2
3192 10  14
16558 4  103
16558 5  14
3462 4  110
19411 19  2
18746 10  14
17290 5  14
13239 19  1
11248 3  7
12087 5  13
12087 4  105
12087 3  7
12087 2  27
10758 12  1
11248 2  25
1980 1  45
1980 2  22
1980 3  16
1980 4  113
1980 5  11
1980 6  1
18400 1  39
13077 1  40
12875 15  2
12875 12  1
12875 10  15
13077 3  7
10731 1  42
12744 4  104
15876 19  2
6843 5  15
6843 4  108
6843 3  10
6843 2  21
6843 1  40
15753 1  39
15876 10  17
14574 19  2
13136 3  7
15876 15  3
5744 10  15
19619 10  15
15464 2  23
18899 24  1
15464 1  37
12744 3  7
13679 10  18
10296 5  13
10296 4  106
4060 8  1
16806 1  40
10296 3  8
10296 2  25
4060 4  107
4060 5  12
4060 1  43
4060 2  24
4060 3  11
9098 2  23
9098 3  8
15188 2  24
9098 1  40
15188 4  103
5739 19  1
9098 4  106
9098 5  15
18379 19  2
10731 3  8
12744 2  25
16803 10  15
14044 4  103
3179 4  110
3179 5  14
3179 2  22
3179 3  12
3179 1  42
18768 24  1
14951 3  6
12600 10  16
19029 19  2
15599 4  103
10731 2  26
13679 12  1
14044 5  15
11558 19  1
13483 4  103
5518 19  1
3017 12  2
5518 15  1
3017 10  13
5518 12  1
5518 10  14
18188 3  5
6740 12  2
18188 1  40
6740 10  17
18188 5  14
16170 5  16
18710 24  1
6740 19  1
13483 5  16
9422 5  16
9422 4  106
12277 5  16
9422 1  39
15505 2  24
9422 3  8
9422 2  23
2151 3  15
2151 2  21
2151 1  43
2412 12  2
16416 15  3
2151 6  1
2151 5  13
2151 4  112
11225 19  1
6629 19  1
12701 12  1
2987 19  1
5954 3  10
5954 2  23
5954 1  42
16170 3  6
6629 10  17
5954 5  13
5954 4  108
4365 19  1
917 1  48
917 2  17
917 3  25
917 4  121
917 5  8
917 6  2
3995 19  1
12170 5  15
3995 12  2
3995 10  13
8323 12  2
7596 5  15
7596 4  107
7596 3  9
7596 2  22
7596 1  40
11660 12  1
7487 4  107
7487 5  15
11653 5  13
8323 19  1
11653 3  7
7487 1  40
7487 2  22
7487 3  9
17119 1  41
15991 2  24
13362 1  40
18532 1  40
18532 2  26
15991 3  6
9709 5  13
9709 4  106
9709 3  8
9709 2  26
9709 1  42
9063 1  41
6481 10  17
6481 12  2
14044 1  39
15391 19  2
6481 19  1
6960 5  15
6960 4  108
6960 3  10
6960 2  21
6960 1  40
15450 1  37
11327 3  7
11327 2  25
11327 1  40
15199 10  17
15991 4  103
11327 5  15
7503 12  2
15991 5  16
15044 2  23
15199 19  2
18643 1  39
19829 19  2
7826 19  1
12000 19  1
19063 4  101
7826 12  2
19870 24  1
7826 10  16
19063 1  39
19063 2  27
16320 10  16
1544 12  2
6920 12  2
14327 4  103
14327 5  16
18079 4  101
16775 4  103
18079 2  27
14327 1  38
14327 2  24
14327 3  6
555 2  15
555 3  30
12955 5  15
555 1  49
555 6  1
12955 2  25
555 4  124
555 5  7
327 6  2
327 5  6
327 4  129
327 3  32
327 2  13
327 1  50
16155 15  2
5332 19  1
10862 4  105
10862 5  13
10862 2  27
10862 3  7
10862 1  42
5332 10  16
5332 12  2
10932 19  1
13483 3  6
11074 1  41
11074 2  26
11074 3  7
7419 4  107
11074 5  14
16893 10  15
12790 19  1
19402 19  2
15598 5  16
12000 15  1
12790 12  1
15598 2  24
12790 10  15
16893 19  2
11956 5  13
14733 10  18
12905 2  25
12461 3  7
12461 2  24
5090 4  109
5090 5  13
5090 2  22
5090 3  11
12461 5  16
5090 1  42
19733 3  5
16494 15  3
13143 4  103
19524 4  101
18609 3  5
11956 1  42
5137 4  109
5137 5  13
5137 2  22
5137 3  11
5137 1  42
11657 10  14
16226 3  6
16298 10  16
13964 15  3
16298 19  2
19566 1  39
18862 3  5
9435 10  16
9435 12  1
9435 15  1
9435 14  1
9435 19  1
3772 10  15
16920 15  3
13964 19  2
19712 15  3
3296 19  1
19712 19  2
11328 19  1
3296 12  2
3296 10  14
17083 5  13
17094 19  2
17960 19  2
14807 1  37
12673 4  104
12182 5  15
14807 2  23
14807 5  17
14807 4  103
17960 15  4
6956 12  2
15395 19  2
6485 10  16
14070 19  2
6485 12  2
14070 15  3
6485 19  1
6956 10  17
14070 10  16
1300 2  20
1300 3  20
4904 1  41
1300 1  47
16171 24  1
7182 1  40
1300 4  116
1300 5  9
7095 5  15
7095 4  108
1300 8  1
12536 5  15
7095 1  40
7182 9  1
7095 3  10
7095 2  21
2805 1  43
15703 5  15
2805 3  13
2805 2  22
2805 5  13
2805 4  111
15703 4  103
13117 2  26
13117 3  7
13117 1  41
11973 2  28
13117 4  104
13117 5  14
12087 19  1
17623 19  2
13251 2  25
12087 12  1
12087 10  14
13251 1  39
12087 15  1
14878 4  103
1293 5  9
1293 4  116
1293 3  20
1293 2  20
1293 1  47
5405 4  109
5405 5  13
11861 4  105
11861 5  13
11861 2  27
5405 1  42
5405 2  23
1293 8  1
2614 19  1
11434 5  15
1332 2  20
16528 10  14
17552 19  2
19513 1  39
2614 10  13
17552 15  3
2614 12  2
19863 4  101
18585 19  2
18517 4  101
1332 4  116
13822 15  3
18056 4  101
1304 10  8
6050 5  13
1304 12  2
16307 1  39
17903 19  2
16655 3  6
10214 5  13
845 8  1
13226 15  2
10214 4  106
15894 1  38
19513 2  26
845 1  49
845 2  18
845 3  25
845 4  120
845 5  7
845 6  1
2212 10  12
3559 12  2
3559 10  15
6050 4  108
10214 1  42
11973 1  43
19536 10  14
498 10  3
498 12  1
3559 19  1
19536 19  2
17949 10  14
2984 1  43
18173 5  14
2984 3  12
2984 2  22
2984 5  12
2984 4  110
18857 2  27
19318 4  101
14887 1  38
14887 3  6
9764 19  1
7240 19  1
14887 4  103
11405 15  1
4157 12  2
9764 12  1
18173 1  40
9764 10  15
19799 24  1
7240 10  18
7240 12  2
18156 3  5
10170 4  106
10170 5  13
10170 2  26
10170 3  8
10170 1  42
13389 15  2
4431 6  1
15960 1  38
13389 10  15
13389 12  1
2852 10  14
2852 12  2
4431 4  108
16933 2  26
2852 19  1
5124 10  15
16572 5  14
16933 1  40
7125 10  17
4101 10  12
4101 12  2
7397 12  2
4101 19  1
14681 3  6
12005 5  12
12005 4  105
12005 1  43
7397 10  17
12005 3  7
12005 2  28
12776 4  104
12776 5  15
12776 1  40
12776 2  25
12776 3  7
4387 10  14
12184 4  105
4387 12  2
14441 4  103
12184 1  40
19497 10  14
12184 3  7
12184 2  25
4199 1  43
4387 19  1
4199 3  11
4199 2  24
4199 5  12
4199 4  108
9352 1  40
4199 6  1
7206 19  1
4677 19  1
4677 14  1
7206 12  2
7206 10  18
4677 10  13
14940 1  38
4677 12  2
5266 12  2
12863 5  16
9873 19  1
13078 5  15
16554 2  26
12083 12  1
5172 19  1
12083 10  14
9873 12  1
5266 10  16
5172 12  2
9873 15  1
5172 10  15
1393 10  8
10778 5  14
1393 12  2
1731 5  13
4774 12  2
10778 1  41
4774 10  14
10778 3  7
1731 2  18
6473 4  108
6473 5  15
6473 2  21
6473 3  10
12590 12  1
4774 19  1
3341 5  12
3341 4  110
16614 3  6
16614 2  26
3341 1  43
16614 4  103
3341 3  12
3341 2  22
16527 1  40
16527 2  27
1731 1  43
16527 4  102
16527 5  13
15719 19  2
16527 7  1
3042 5  14
2216 12  2
15157 10  18
2216 10  12
3042 1  42
16777 4  103
3042 3  12
3042 2  22
1669 12  2
1669 10  11
15157 19  2
9906 19  1
13197 2  26
11561 12  1
11561 10  15
15875 2  24
11561 15  1
13197 5  15
17773 2  27
17773 3  5
11561 19  1
17773 1  40
17773 4  101
17773 5  14
18981 10  14
7184 10  16
14733 15  3
2316 8  1
2316 4  109
2316 5  14
2316 2  22
2316 3  13
2316 1  42
4079 2  24
4079 3  11
17169 3  6
4079 1  43
4079 6  1
14681 2  23
4079 4  107
4079 5  12
11924 19  1
11240 15  1
4079 9  1
11980 12  1
11240 12  1
11980 10  13
11240 10  15
4798 2  21
4798 3  11
12202 2  24
4798 1  41
12202 4  105
12202 5  15
4798 4  109
4798 5  14
5384 10  15
13385 10  15
5384 12  2
8781 19  1
8679 12  2
8145 12  2
8679 10  18
13351 15  2
18073 4  101
17861 5  14
17184 3  6
2856 10  13
2856 12  2
11243 4  104
2856 19  1
11243 5  15
9902 19  1
14493 4  103
14493 5  17
14493 2  23
8837 2  24
17313 10  15
14493 1  37
9902 10  15
9902 12  1
15147 4  103
19992 5  16
9902 15  1
17313 19  2
8781 10  17
8145 19  1
16999 4  103
19220 10  14
13514 5  15
8936 12  2
8936 10  16
19992 4  101
8936 19  1
15830 4  103
15505 5  16
19411 1  39
15830 5  15
13845 2  24
13845 3  6
13845 1  38
2911 12  2
13845 4  103
2911 10  12
12783 4  104
8005 5  13
8005 4  106
8005 3  8
8005 2  25
8005 1  42
12063 10  15
13254 15  2
18654 24  1
15063 10  18
15830 1  39
3880 3  11
8451 19  1
2404 8  1
15830 2  25
6206 5  15
2404 4  109
2404 5  13
6568 1  40
15058 1  37
2404 1  43
2404 2  23
2404 3  13
18013 10  13
2696 5  12
2696 4  111
2696 3  13
2696 2  21
2696 1  43
2787 4  111
2787 5  13
10916 4  105
10916 5  13
10916 2  27
2787 1  43
2787 2  22
2787 3  13
3352 1  43
14732 4  103
14732 5  16
14732 2  24
3880 5  12
19999 19  2
9466 10  16
16370 1  39
7172 12  2
3352 3  12
17953 3  5
9466 12  1
1860 8  1
9466 15  1
1860 5  13
1860 4  114
1860 3  18
1860 2  18
1860 1  43
3352 4  110
14755 1  37
6553 12  2
15296 5  16
11984 19  1
1328 2  20
16377 4  103
